,brand,model,model_year,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,data_year
1386,BMW,750 i xDrive,2020,25108,Gasoline,8-Speed A/T,Black,Black,No,No,66000,2023
1387,Land,Rover Range Rover 3.0L Supercharged HSE,2016,103000,Gasoline,Transmission w/Dual Shift Mode,Black,Black,False,Yes,33999,2023
1388,Porsche,911 Carrera 4 Cabriolet,2003,87600,Gasoline,Transmission w/Dual Shift Mode,Black,Black,True,Yes,32000,2023
1389,Maserati,MC20 Base,2022,1087,Gasoline,8-Speed Automatic with Auto-Shift,Matte White,Black,False,Yes,279000,2023
1390,Mercedes-Benz,CLA-Class CLA 250,2015,76753,Gasoline,A/T,Red,Black,True,Yes,15999,2023
1391,Mercedes-Benz,Metris Base,2019,10500,Gasoline,A/T,Black,Brown,False,Yes,79500,2023
1392,Mercedes-Benz,E-Class E 350 4MATIC,2011,199000,Gasoline,7-Speed A/T,Silver,Black,False,Yes,9250,2023
1393,Lexus,LS 460 L,2007,127980,Gasoline,8-Speed A/T,Blue,Beige,False,Yes,9999,2023
1394,BMW,X6 xDrive40i,2023,16307,Hybrid,A/T,Red,White,False,Yes,71400,2023
1395,Audi,S5 3.0T Prestige,2021,13566,Gasoline,1-Speed Automatic,Daytona Gray Pearl Effect,Magma Red,False,No,57900,2023
1396,Audi,Q7 Premium Plus,2022,22588,Hybrid,Automatic,Navarra Blue,Saiga Beige,False,No,52598,2023
1397,Jaguar,XE 25t,2019,41452,Gasoline,Transmission w/Dual Shift Mode,White,Black,True,Yes,22500,2023
1398,Genesis,G80 3.3T Sport,2019,57500,Gasoline,A/T,Red,Black,False,Yes,32990,2023
1399,BMW,M2 Competition,2020,500,Gasoline,7-Speed A/T,Black,Black,False,Yes,70000,2023
1400,Subaru,Impreza WRX Premium,2014,55000,Gasoline,5-Speed M/T,White,Black,False,Yes,30000,2023
1401,GMC,Sierra 2500 Base,2021,8210,Gasoline,A/T,White,Black,False,Yes,55000,2023
